g_id	ar_id	ed_id	series_id
0	0	0	LNU04000012
0	0	1	LHSD1619
0	0	2	HSGS1619
0	0	3	ADEG1619
0	0	4	CGBD1619
0	0	5	CGMD1619
0	0	6	N/A
0	1	0	LNU04000086
0	2	0	LNU04000088
0	3	0	LNU04000036
0	4	0	LNU04000089
0	5	0	LNU04000091
0	6	0	LNU04000093
0	7	0	LNU04000095
0	8	0	LNU04000097
1	0	0	LNU04000013
2	0	0	LNU04000014
1	0	1	LHSD1619M
1	0	2	HSGS1619M
1	0	3	ADEG1619M
1	0	4	CGBD1619M
1	0	5	CGMD1619M
1	0	6	N/A
2	0	1	LHSD16OW
2	0	2	HSGS16OW
2	0	3	ADEG16OW
2	0	4	CGBD16OW
2	0	5	CGMD16OW
2	0	6	CGDD16OW
0	1	1	LHSD1617
0	1	2	HSGS1617
0	1	3	ADEG1617
0	1	4	CGBD1617
0	1	5	CGMD1617
0	1	6	N/A
1	1	1	LHSD1617M
1	1	2	HSGS1617M
1	1	3	ADEG1617M
1	1	4	CGBD1617M
1	1	5	CGMD1617M
1	1	6	N/A
2	1	1	LHSD1617W
2	1	2	HSGS1617W
2	1	3	ADEG1617W
2	1	4	CGBD1617W
2	1	5	CGMD1617W
2	1	6	N/A
0	2	1	LHSD1819
0	2	2	HSGS1819
0	2	3	ADEG1819
0	2	4	CGBD1819
0	2	5	CGMD1819
0	2	6	N/A
1	2	1	LHSD1819M
1	2	2	HSGS1819M
1	2	3	ADEG1819M
1	2	4	CGBD1819M
1	2	5	N/A
1	2	6	N/A
2	2	1	LHSD1819W
2	2	2	HSGS1819W
2	2	3	ADEG1819W
2	2	4	CGBD1819W
2	2	5	CGMD1819W
2	2	6	N/A
0	3	1	LHSD2024
0	3	2	HSGS2024
0	3	3	ADEG2024
0	3	4	CGBD2024
0	3	5	CGMD2024
0	3	6	CGDD2024
1	3	1	LHSD2024M
1	3	2	HSGS2024M
1	3	3	ADEG2024M
1	3	4	CGBD2024M
1	3	5	CGMD2024M
1	3	6	CGDD2024M
2	3	1	LHSD2024W
2	3	2	HSGS2024W
2	3	3	ADEG2024W
2	3	4	CGBD2024W
2	3	5	CGMD2024W
2	3	6	CGDD2024W
0	4	1	LHSD2534
0	4	2	HSGS2534
0	4	3	ADEG2534
0	4	4	CGBD2534
0	4	5	CGMD2534
0	4	6	CGDD2534
1	4	1	LHSD2534M
1	4	2	HSGS2534M
1	4	3	ADEG2534M
1	4	4	CGBD2534M
1	4	5	CGMD2534M
1	4	6	CGDD2534M
2	4	1	LHSD2534W
2	4	2	HSGS2534W
2	4	3	ADEG2534W
2	4	4	CGBD2534W
2	4	5	CGMD2534W
2	4	6	CGDD2534W
0	5	1	LHSD3544
0	5	2	HSGS3544
0	5	3	ADEG3544
0	5	4	CGBD3544
0	5	5	CGMD3544
0	5	6	CGDD3544
1	5	1	LHSD3544M
1	5	2	HSGS3544M
1	5	3	ADEG3544M
1	5	4	CGBD3544M
1	5	5	CGMD3544M
1	5	6	CGDD3544M
2	5	1	LHSD3544W
2	5	2	HSGS3544W
2	5	3	ADEG3544W
2	5	4	CGBD3544W
2	5	5	CGMD3544W
2	5	6	CGDD3544W
0	6	1	LHSD4554
0	6	2	HSGS4554
0	6	3	ADEG4554
0	6	4	CGBD4554
0	6	5	CGMD4554
0	6	6	CGDD4554
1	6	1	LNU04000182
1	6	2	HSGS4554M
1	6	3	ADEG4554M
1	6	4	CGBD4554M
1	6	5	CGMD4554M
1	6	6	CGDD4554M
2	6	1	LHSD4554W
2	6	2	HSGS4554W
2	6	3	ADEG4554W
2	6	4	CGBD4554W
2	6	5	CGMD4554W
2	6	6	CGDD4554W
0	7	1	LHSD5564
0	7	2	HSGS5564
0	7	3	ADEG5564
0	7	4	CGBD5564
0	7	5	CGMD5564
0	7	6	CGDD5564
1	7	1	LHSD5564M
1	7	2	HSGS5564M
1	7	3	ADEG5564M
1	7	4	CGBD5564M
1	7	5	CGMD5564M
1	7	6	CGDD5564M
2	7	1	LHSD5564W
2	7	2	HSGS5564W
2	7	3	ADEG5564W
2	7	4	CGBD5564W
2	7	5	CGMD5564W
2	7	6	CGDD5564W
0	8	1	LHSD65O
0	8	2	HSGS65O
0	8	3	ADEG65O
0	8	4	CGBD65O
0	8	5	CGMD65O
0	8	6	CGDD65O
1	8	1	LHSD65OM
1	8	2	HSGS65OM
1	8	3	ADEG65OM
1	8	4	CGBD65OM
1	8	5	CGMD65OM
1	8	6	CGDD65OM
2	8	1	LHSD65OW
2	8	2	HSGS65OW
2	8	3	ADEG65OW
2	8	4	CGBD65OW
2	8	5	CGMD65OW
2	8	6	CGDD65OW
